compressive_strength,cement,blast_furnace_slag,water,super_plasticisers,coarse_aggregate,fine_aggregate,age
79.99,540.0,0.0,162.0,2.5,1040.0,676.0,28
61.89,540.0,0.0,162.0,2.5,1055.0,676.0,28
40.27,332.5,142.5,228.0,0.0,932.0,594.0,270
41.05,332.5,142.5,228.0,0.0,932.0,594.0,365
44.3,198.6,132.4,192.0,0.0,978.4,825.5,360
47.03,266.0,114.0,228.0,0.0,932.0,670.0,90
43.7,380.0,95.0,228.0,0.0,932.0,594.0,365
36.45,380.0,95.0,228.0,0.0,932.0,594.0,28
45.85,266.0,114.0,228.0,0.0,932.0,670.0,28
39.29,475.0,0.0,228.0,0.0,932.0,594.0,28
38.07,198.6,132.4,192.0,0.0,978.4,825.5,90
28.02,198.6,132.4,192.0,0.0,978.4,825.5,28
43.01,427.5,47.5,228.0,0.0,932.0,594.0,270
42.33,190.0,190.0,228.0,0.0,932.0,670.0,90
47.81,304.0,76.0,228.0,0.0,932.0,670.0,28
52.91,380.0,0.0,228.0,0.0,932.0,670.0,90
39.36,139.6,209.4,192.0,0.0,1047.0,806.9,90
56.14,342.0,38.0,228.0,0.0,932.0,670.0,365
40.56,380.0,95.0,228.0,0.0,932.0,594.0,90
42.62,475.0,0.0,228.0,0.0,932.0,594.0,180
41.84,427.5,47.5,228.0,0.0,932.0,594.0,180
28.24,139.6,209.4,192.0,0.0,1047.0,806.9,28
8.06,139.6,209.4,192.0,0.0,1047.0,806.9,3
44.21,139.6,209.4,192.0,0.0,1047.0,806.9,180
52.52,380.0,0.0,228.0,0.0,932.0,670.0,365
53.3,380.0,0.0,228.0,0.0,932.0,670.0,270
41.15,380.0,95.0,228.0,0.0,932.0,594.0,270
52.12,342.0,38.0,228.0,0.0,932.0,670.0,180
37.43,427.5,47.5,228.0,0.0,932.0,594.0,28
38.6,475.0,0.0,228.0,0.0,932.0,594.0,7
55.26,304.0,76.0,228.0,0.0,932.0,670.0,365
52.91,266.0,114.0,228.0,0.0,932.0,670.0,365
41.72,198.6,132.4,192.0,0.0,978.4,825.5,180
42.13,475.0,0.0,228.0,0.0,932.0,594.0,270
53.69,190.0,190.0,228.0,0.0,932.0,670.0,365
38.41,237.5,237.5,228.0,0.0,932.0,594.0,270
30.08,237.5,237.5,228.0,0.0,932.0,594.0,28
37.72,332.5,142.5,228.0,0.0,932.0,594.0,90
42.23,475.0,0.0,228.0,0.0,932.0,594.0,90
36.25,237.5,237.5,228.0,0.0,932.0,594.0,180
50.46,342.0,38.0,228.0,0.0,932.0,670.0,90
43.7,427.5,47.5,228.0,0.0,932.0,594.0,365
39.0,237.5,237.5,228.0,0.0,932.0,594.0,365
