compressive_strength,cement,blast_furnace_slag,water,super_plasticisers,coarse_aggregate,fine_aggregate,age,combined_aggregate
79.99,540.0,0.0,162.0,2.5,1040.0,676.0,28,1716.0
61.89,540.0,0.0,162.0,2.5,1055.0,676.0,28,1731.0
40.27,332.5,142.5,228.0,0.0,932.0,594.0,270,1526.0
41.05,332.5,142.5,228.0,0.0,932.0,594.0,365,1526.0
44.3,198.6,132.4,192.0,0.0,978.4,825.5,360,1803.9
47.03,266.0,114.0,228.0,0.0,932.0,670.0,90,1602.0
43.7,380.0,95.0,228.0,0.0,932.0,594.0,365,1526.0
36.45,380.0,95.0,228.0,0.0,932.0,594.0,28,1526.0
45.85,266.0,114.0,228.0,0.0,932.0,670.0,28,1602.0
39.29,475.0,0.0,228.0,0.0,932.0,594.0,28,1526.0
38.07,198.6,132.4,192.0,0.0,978.4,825.5,90,1803.9
28.02,198.6,132.4,192.0,0.0,978.4,825.5,28,1803.9
43.01,427.5,47.5,228.0,0.0,932.0,594.0,270,1526.0
42.33,190.0,190.0,228.0,0.0,932.0,670.0,90,1602.0
47.81,304.0,76.0,228.0,0.0,932.0,670.0,28,1602.0
52.91,380.0,0.0,228.0,0.0,932.0,670.0,90,1602.0
39.36,139.6,209.4,192.0,0.0,1047.0,806.9,90,1853.9
56.14,342.0,38.0,228.0,0.0,932.0,670.0,365,1602.0
40.56,380.0,95.0,228.0,0.0,932.0,594.0,90,1526.0
42.62,475.0,0.0,228.0,0.0,932.0,594.0,180,1526.0
41.84,427.5,47.5,228.0,0.0,932.0,594.0,180,1526.0
28.24,139.6,209.4,192.0,0.0,1047.0,806.9,28,1853.9
8.06,139.6,209.4,192.0,0.0,1047.0,806.9,3,1853.9
44.21,139.6,209.4,192.0,0.0,1047.0,806.9,180,1853.9
52.52,380.0,0.0,228.0,0.0,932.0,670.0,365,1602.0
53.3,380.0,0.0,228.0,0.0,932.0,670.0,270,1602.0
41.15,380.0,95.0,228.0,0.0,932.0,594.0,270,1526.0
52.12,342.0,38.0,228.0,0.0,932.0,670.0,180,1602.0
37.43,427.5,47.5,228.0,0.0,932.0,594.0,28,1526.0
38.6,475.0,0.0,228.0,0.0,932.0,594.0,7,1526.0
55.26,304.0,76.0,228.0,0.0,932.0,670.0,365,1602.0
52.91,266.0,114.0,228.0,0.0,932.0,670.0,365,1602.0
41.72,198.6,132.4,192.0,0.0,978.4,825.5,180,1803.9
42.13,475.0,0.0,228.0,0.0,932.0,594.0,270,1526.0
53.69,190.0,190.0,228.0,0.0,932.0,670.0,365,1602.0
38.41,237.5,237.5,228.0,0.0,932.0,594.0,270,1526.0
30.08,237.5,237.5,228.0,0.0,932.0,594.0,28,1526.0
37.72,332.5,142.5,228.0,0.0,932.0,594.0,90,1526.0
42.23,475.0,0.0,228.0,0.0,932.0,594.0,90,1526.0
36.25,237.5,237.5,228.0,0.0,932.0,594.0,180,1526.0
50.46,342.0,38.0,228.0,0.0,932.0,670.0,90,1602.0
43.7,427.5,47.5,228.0,0.0,932.0,594.0,365,1526.0
39.0,237.5,237.5,228.0,0.0,932.0,594.0,365,1526.0
53.1,380.0,0.0,228.0,0.0,932.0,670.0,180,1602.0
41.54,427.5,47.5,228.0,0.0,932.0,594.0,90,1526.0
35.08,427.5,47.5,228.0,0.0,932.0,594.0,7,1526.0
15.05,349.0,0.0,192.0,0.0,1047.0,806.9,3,1853.9
40.76,380.0,95.0,228.0,0.0,932.0,594.0,180,1526.0
26.26,237.5,237.5,228.0,0.0,932.0,594.0,7,1526.0
32.82,380.0,95.0,228.0,0.0,932.0,594.0,7,1526.0
39.78,332.5,142.5,228.0,0.0,932.0,594.0,180,1526.0
46.93,190.0,190.0,228.0,0.0,932.0,670.0,180,1602.0
33.12,237.5,237.5,228.0,0.0,932.0,594.0,90,1526.0
49.19,304.0,76.0,228.0,0.0,932.0,670.0,90,1602.0
14.59,139.6,209.4,192.0,0.0,1047.0,806.9,7,1853.9
14.64,198.6,132.4,192.0,0.0,978.4,825.5,7,1803.9
41.93,475.0,0.0,228.0,0.0,932.0,594.0,365,1526.0
9.13,198.6,132.4,192.0,0.0,978.4,825.5,3,1803.9
50.95,304.0,76.0,228.0,0.0,932.0,670.0,180,1602.0
33.02,332.5,142.5,228.0,0.0,932.0,594.0,28,1526.0
54.38,304.0,76.0,228.0,0.0,932.0,670.0,270,1602.0
51.73,266.0,114.0,228.0,0.0,932.0,670.0,270,1602.0
9.87,310.0,0.0,192.0,0.0,971.0,850.6,3,1821.6
50.66,190.0,190.0,228.0,0.0,932.0,670.0,270,1602.0
48.7,266.0,114.0,228.0,0.0,932.0,670.0,180,1602.0
55.06,342.0,38.0,228.0,0.0,932.0,670.0,270,1602.0
44.7,139.6,209.4,192.0,0.0,1047.0,806.9,360,1853.9
30.28,332.5,142.5,228.0,0.0,932.0,594.0,7,1526.0
40.86,190.0,190.0,228.0,0.0,932.0,670.0,28,1602.0
71.99,485.0,0.0,146.0,0.0,1120.0,800.0,28,1920.0
34.4,374.0,189.2,170.1,10.1,926.1,756.7,3,1682.8000000000002
28.8,313.3,262.2,175.5,8.6,1046.9,611.8,3,1658.7
33.4,425.0,106.3,153.5,16.5,852.1,887.1,3,1739.2
36.3,425.0,106.3,151.4,18.6,936.0,803.7,3,1739.7
29.0,375.0,93.8,126.6,23.4,852.1,992.6,3,1844.7
37.8,475.0,118.8,181.1,8.9,852.1,781.5,3,1633.6
40.2,469.0,117.2,137.8,32.2,852.1,840.5,3,1692.6
33.4,425.0,106.3,153.5,16.5,852.1,887.1,3,1739.2
28.1,388.6,97.1,157.9,12.1,852.1,925.7,3,1777.8000000000002
41.3,531.3,0.0,141.8,28.2,852.1,893.7,3,1745.8000000000002
33.4,425.0,106.3,153.5,16.5,852.1,887.1,3,1739.2
25.2,318.8,212.5,155.7,14.3,852.1,880.4,3,1732.5
41.1,401.8,94.7,147.4,11.4,946.8,852.1,3,1798.9
35.3,362.6,189.0,164.9,11.6,944.7,755.8,3,1700.5
